"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (Â°DD)","Begin Longitude (Â°DD)","End Latitude (Â°DD)","End Longitude (Â°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (Â°C)","Min. Temp (Â°C)","Max. Temp (Â°C)"
"2021-06-12T16:57:08+02:00","2021-06-12T19:19:00+02:00","6946506135","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","02:11:39","02:21:52","02:05:08","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","54.67653","24.919199752807618","24.9","26.216487630649333","26.2","51.26040115356445","51.3","301.29","297.24","11.05","154.13","true","50.728657","3.080597","50.727343","3.086340","188","151","1355","","3.8","2.5","","","","","","","","","",""
"2021-06-11T11:49:48+02:00","2021-06-11T12:17:54+02:00","6938423732","Linselles Course","","Linselles","Europe/Paris","+02:00","00:27:11","00:28:06","00:27:05","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","5.01081","11.059200096130374","05:26","11.10213540220919","05:24","13.068000411987304","04:35","17.1","22.49","21.0","36.0","true","50.737515","3.071883","50.744272","3.069475","179","167","367","46.0","3.5","","146.91","156.0","125.44","3986","","","","","",""
"2021-06-09T11:50:51+02:00","2021-06-09T12:51:25+02:00","6926908563","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","00:58:47","01:00:34","00:58:44","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","30.05726","30.675599670410158","30.7","30.707508483170887","30.7","44.7408016204834","44.7","171.54","160.57","19.22","50.83","true","50.737395","3.071914","50.731378","3.069677","178","163","757","","4.1","0.2","","","","","","","","","",""
"2021-06-07T17:14:19+02:00","2021-06-07T18:14:24+02:00","6916561595","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:00:05","01:00:05","00:59:31","Any Activity Type","Cycling","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","25.98661","25.952400398254394","26.0","26.197228207186082","26.2","37.519199752807616","37.5","68.6","74.65","15.0","49.41","true","50.736627","3.072711","50.705061","3.057303","188","142","600","","2.9","1.4","","","","","","","","","",""
"2021-06-06T17:22:55+02:00","2021-06-06T18:22:02+02:00","6911437361","Linselles Course","","Linselles","Europe/Paris","+02:00","00:59:07","00:59:07","00:59:05","Any Activity Type","Running","Uncategorized","Forerunner 245 7.20.0.0","","private","fit","10.31498","10.46879997253418","05:44","10.475287290262527","05:44","11.959200096130372","05:01","65.36","69.7","21.0","49.73","true","50.737288","3.072157","50.742556","3.062751","179","167","784","46.0","4.5","0.1","147.47","155.0","118.34","8698","","","","","",""
"2021-06-03T17:13:38+02:00","2021-06-03T18:36:34+02:00","6893515745","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:22:56","01:22:56","01:22:53","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","40.01522","28.951199340820313","29.0","28.965045389227157","29.0","42.5591983795166","42.6","239.03","227.54","19.18","50.96","true","50.737253","3.072028","50.731397","3.069837","181","161","1020","","4.3","1.3","","","","","","","","","",""
"2021-06-02T18:06:39+02:00","2021-06-02T19:05:43+02:00","6887619403","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","00:59:04","00:59:04","00:59:02","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","27.52246","27.957599258422857","28.0","27.972444706959173","28.0","54.349200439453135","54.3","275.8","275.3","19.0","59.54","true","50.737378","3.071954","50.764685","3.053645","186","162","724","","4.0","2.6","","","","","","","","","",""
"2021-05-30T08:52:21+02:00","2021-05-30T11:01:46+02:00","6866593850","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","02:09:25","02:09:25","02:09:13","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","59.80110","27.727200508117676","27.7","27.769141883413333","27.8","48.84120140075684","48.8","510.42","506.36","19.1","59.65","true","50.737567","3.071819","50.764515","3.053613","187","158","1375","","4.5","3.0","","","","","","","","","",""
"2021-05-28T16:39:14+02:00","2021-05-28T17:26:20+02:00","6857042310","Linselles - VMA courte 12x(30s-30s)","","Linselles","Europe/Paris","+02:00","00:47:05","00:47:06","00:47:01","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","6.68203","8.514000034332275","07:03","8.525821513858073","07:02","16.056000137329104","03:44","14.09","18.68","16.05","34.36","true","50.737319","3.071956","50.735956","3.059570","193","162","549","46.0","4.1","3.0","127.69","223.0","109.28","6098","","","","","",""
"2021-05-26T18:01:28+02:00","2021-05-26T19:03:44+02:00","6846618082","Linselles - 1h footing terrain vallonné à","","Linselles","Europe/Paris","+02:00","01:00:08","01:02:16","01:00:03","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","9.51126","9.489599704742432","06:19","9.50444820432822","06:19","13.068000411987304","04:35","52.85","54.56","21.0","47.49","true","50.737342","3.072026","50.742586","3.062695","182","168","784","46.0","4.5","0.1","142.12","158.0","111.25","8532","","","","","",""
"2021-05-18T16:29:15+02:00","2021-05-18T17:00:01+02:00","6801249241","Linselles Course","","Linselles","Europe/Paris","+02:00","00:29:50","00:30:46","00:29:35","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","5.03222","10.119600391387939","05:56","10.205296161937792","05:53","15.82199993133545","03:48","12.55","15.65","16.04","32.31","true","50.737240","3.071943","50.742526","3.062711","179","165","387","46.0","3.4","2.0","139.81","207.0","120.53","4182","","","","","",""
"2021-05-14T10:33:12+02:00","2021-05-14T11:26:34+02:00","6778727619","Saint-Cast-le-Guildo Course","","Saint-Cast-le-Guildo","Europe/Paris","+02:00","00:52:47","00:53:22","00:52:32","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","8.08116","9.187200164794922","06:32","9.231168949684317","06:30","12.697199821472168","04:44","108.87","102.19","4.59","56.92","true","48.636008","-2.276407","48.635885","-2.276228","177","162","641","46.0","3.6","1.3","145.88","169.0","104.84","7784","","","","","",""
"2021-05-12T16:35:04+02:00","2021-05-12T17:08:57+02:00","6778723998","Linselles Course","","Linselles","Europe/Paris","+02:00","00:33:53","00:33:53","00:33:47","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","6.00748","10.637999725341798","05:38","10.670432155659785","05:37","11.991600322723391","05:00","21.26","24.62","18.15","37.89","true","50.737291","3.071891","50.735900","3.059478","182","170","456","45.0","3.8","","145.44","153.0","121.93","4930","","","","","",""
"2021-05-10T16:13:15+02:00","2021-05-10T17:02:55+02:00","6778721583","Linselles Course","","Linselles","Europe/Paris","+02:00","00:49:40","00:49:40","00:49:34","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","8.69949","10.512000274658204","05:42","10.530788485063749","05:42","11.991600322723391","05:00","48.73","47.21","20.72","42.94","true","50.737343","3.071991","50.742521","3.062642","181","170","666","45.0","4.4","","147.23","156.0","118.99","7290","","","","","",""
"2021-05-08T15:01:48+02:00","2021-05-08T17:00:01+02:00","6778718007","Bondues Cyclisme","","Bondues","Europe/Paris","+02:00","01:58:13","01:58:13","01:56:48","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","51.49508","26.13600082397461","26.1","26.45267163376228","26.5","53.34120140075684","53.3","379.34","388.4","17.96","57.99","true","50.712906","3.108392","50.720049","3.061394","180","156","1185","","4.1","2.5","","","","","","","","","",""
"2021-05-05T17:05:55+02:00","2021-05-05T18:11:28+02:00","6727635172","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:05:33","01:05:33","01:05:29","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","29.99457","27.45","27.4","27.47957112619781","27.5","53.34120140075684","53.3","343.79","339.15","19.2","59.7","true","50.739023","3.071950","50.763131","3.054411","174","150","675","","3.2","2.2","","","","","","","","","",""
"2021-05-02T10:22:30+02:00","2021-05-02T12:11:28+02:00","6710729609","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:48:58","01:48:58","01:46:37","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","51.09457","28.134000205993654","28.1","28.753900247179054","28.8","48.70799903869629","48.7","224.89","225.58","12.75","63.87","true","50.739048","3.071968","50.763091","3.054444","179","156","1201","","4.1","2.2","","","","","","","","","",""
"2021-05-01T10:22:40+02:00","2021-05-01T11:32:40+02:00","6710720880","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:10:00","01:10:00","01:09:56","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","33.03453","28.31399917602539","28.3","28.34106223772561","28.3","51.4259994506836","51.4","376.9","368.62","19.0","59.76","true","50.740264","3.070409","50.761609","3.054785","179","157","798","","3.8","2.3","","","","","","","","","",""
"2021-04-28T16:23:35+02:00","2021-04-28T17:29:01+02:00","6710715223","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:05:26","01:05:26","01:05:00","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","31.58478","28.96559829711914","29.0","29.15806668816569","29.2","48.53879928588867","48.5","168.25","167.13","19.18","50.93","true","50.737989","3.071981","50.731750","3.070671","183","160","794","","3.8","1.5","","","","","","","","","",""
"2021-04-25T15:58:23+02:00","2021-04-25T16:43:24+02:00","6670676148","Linselles Course","","Linselles","Europe/Paris","+02:00","00:45:01","00:45:01","00:45:00","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","8.06591","10.75319995880127","05:35","10.75481381984172","05:35","12.427199649810794","04:50","30.67","30.55","16.04","45.93","true","50.737340","3.071886","50.736005","3.059434","178","163","573","45.0","3.9","0.1","149.0","156.0","120.26","6682","","","","","",""
"2021-04-24T10:45:39+02:00","2021-04-24T12:01:47+02:00","6662016825","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:11:46","01:16:08","01:11:36","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","34.47203","28.821598434448244","28.8","28.884716399641665","28.9","48.67200164794922","48.7","159.18","155.31","17.74","48.77","true","50.737855","3.071844","50.711112","3.076188","183","161","859","","4.0","1.9","","","","","","","","","",""
"2021-04-22T17:15:58+02:00","2021-04-22T18:05:50+02:00","6652583042","Linselles Course","","Linselles","Europe/Paris","+02:00","00:49:52","00:49:52","00:49:46","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","8.90531","10.713600254058838","05:36","10.73635290739121","05:35","12.596400260925293","04:46","60.07","60.79","21.0","49.55","true","50.737289","3.072136","50.742530","3.062906","185","175","686","45.0","4.6","0.2","147.27","155.0","121.28","7332","","","","","",""
"2021-04-19T16:32:12+02:00","2021-04-19T18:27:41+02:00","6635142773","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:55:29","01:55:29","01:55:25","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","55.33298","28.746000480651855","28.7","28.76344424900062","28.8","49.44599876403809","49.4","334.18","328.57","19.2","50.99","true","50.737903","3.071894","50.731704","3.070582","162","134","937","","2.8","0.5","","","","","","","","","",""
"2021-04-18T10:11:30+02:00","2021-04-18T11:17:59+02:00","6626524624","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:06:29","01:06:29","01:06:27","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","30.21955","27.277200508117676","27.3","27.28678921842831","27.3","51.05879859924317","51.1","329.11","327.14","19.09","59.66","true","50.737243","3.071989","50.764814","3.053698","187","165","829","","4.1","2.5","","","","","","","","","",""
"2021-04-11T15:37:42+02:00","2021-04-11T16:26:10+02:00","6621941265","Linselles Course","","Linselles","Europe/Paris","+02:00","00:48:28","00:48:28","00:48:25","Any Activity Type","Running","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","8.83229","10.936800384521485","05:29","10.945362206262883","05:29","12.967199993133546","04:38","59.14","54.53","20.57","46.16","true","50.737561","3.071843","50.742679","3.062417","182","168","626","45.0","4.2","","150.42","159.0","121.17","7268","","","","","",""
"2021-04-08T17:04:40+02:00","2021-04-08T18:52:47+02:00","6621937226","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:48:07","01:48:07","01:48:05","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","50.44838","27.99719982147217","28.0","28.00740165063766","28.0","37.08359870910645","37.1","290.22","286.28","19.13","50.7","true","50.737474","3.072029","50.731514","3.069947","184","168","1317","","5.0","1.6","","","","","","","","","",""
"2021-04-05T16:14:34+02:00","2021-04-05T17:21:37+02:00","6555049081","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:07:03","01:07:03","01:06:58","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","30.15768","26.985599327087403","27.0","27.017388338440615","27.0","46.72440032958985","46.7","338.86","332.78","19.02","59.79","true","50.737407","3.071914","50.764617","3.053627","184","165","813","","4.2","2.3","","","","","","","","","",""
"2021-04-03T16:15:43+02:00","2021-04-03T17:22:54+02:00","6553348324","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:07:11","01:07:11","01:07:07","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","30.33890","27.09719982147217","27.1","27.123890835390924","27.1","48.06720085144044","48.1","342.59","334.36","19.02","59.66","true","50.737247","3.071984","50.764737","3.053667","188","160","772","","4.2","2.5","","","","","","","","","",""
"2021-03-31T16:28:43+02:00","2021-03-31T18:14:06+02:00","6553342873","Linselles Cyclisme","","Linselles","Europe/Paris","+02:00","01:45:23","01:45:23","01:45:12","Any Activity Type","Cycling","Uncategorized","Forerunner 245 6.20.0.0","","private","fit","50.20549","28.58759994506836","28.6","28.63383267099558","28.6","41.28120002746582","41.3","293.52","295.44","19.25","50.93","true","50.736507","3.072720","50.732482","3.072716","182","161","1189","","4.5","1.8","","","","","","","","","",""
